Song Title,Streams,Highest Charting Position,Number of Times Charted,Artist,Artist Followers,Genre,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Valence
La Nota,"5,300,884",21,35,"Manuel Turizo, Rauw Alejandro, Myke Towers",7904381,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",08-10-2020,79,0.736,0.632,-4.939,0.065,0.180,0.349,92.030,0.503
Golden,"5,298,893",47,32,Harry Styles,16112621,"['pop', 'post-teen pop']",13-12-2019,83,0.448,0.838,-5.257,0.056,0.210,0.131,139.863,0.254
Zu Ende,"5,297,101",164,1,"Samra, ELIF",1045091,['german hip hop'],23-01-2020,57,0.707,0.747,-5.212,0.279,0.307,0.183,80.025,0.491
Falling,"5,294,368",5,142,Harry Styles,16112621,"['pop', 'post-teen pop']",13-12-2019,83,0.567,0.267,-6.502,0.030,0.839,0.089,110.011,0.059
Shotz Fired,"5,291,167",127,1,Bonez MC,1683006,"['german hip hop', 'hamburg hip hop']",09-04-2020,59,0.839,0.594,-9.087,0.139,0.249,0.165,76.007,0.580
A Sweeter Place (feat. Kid Cudi),"5,291,134",166,1,Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",10-01-2020,52,0.583,0.777,-6.991,0.185,0.109,0.108,190.054,0.310
"L-Gante: Bzrp Music Sessions, Vol.38","5,290,877",115,9,"Bizarrap, L-Gante",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",10-03-2021,80,0.553,0.819,-3.083,0.257,0.368,0.092,87.913,0.761
BaeBae,"5,290,730",128,1,Samra,1045091,['german hip hop'],09-04-2020,57,0.628,0.712,-4.864,0.156,0.282,0.156,86.627,0.450
AM,"5,288,927",13,15,"Nio Garcia, Flow La Movie",2123734,"['latin', 'reggaeton', 'trap latino']",28-01-2021,85,0.830,0.517,-6.416,0.333,0.399,0.092,171.959,0.616
GOODMORNINGTOKYO!,"5,286,044",123,8,TOKYO’S REVENGE,313480,"['meme rap', 'sad rap', 'vapor trap', 'viral rap']",18-10-2019,74,0.907,0.539,-7.782,0.360,0.041,0.253,124.918,0.664
Ramen & OJ,"5,282,702",154,4,"Joyner Lucas, Lil Baby",1725025,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",30-04-2021,81,0.597,0.571,-6.205,0.293,0.492,0.093,106.196,0.165
shut up,"5,282,490",31,2,Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",30-10-2020,63,0.499,0.462,-5.308,0.031,0.801,0.095,127.698,0.599
Deep End Freestyle,"5,280,810",72,8,"Sleepy Hallow, Fousheé",411262,"['brooklyn drill', 'nyc rap']",05-06-2020,72,0.868,0.479,-6.687,0.445,0.703,0.102,133.928,0.776
One More Year,"5,279,739",175,1,Tame Impala,5064200,"['australian psych', 'neo-psychedelic']",14-02-2020,56,0.602,0.880,-5.414,0.035,0.057,0.284,114.009,0.493
Explícito,"5,278,449",182,5,Myke Towers,6150675,['trap latino'],15-12-2020,81,0.828,0.830,-3.371,0.047,0.348,0.061,95.007,0.422
Own It (feat. Ed Sheeran & Burna Boy),"5,273,046",58,10,Stormzy,2317758,"['grime', 'uk hip hop']",13-12-2019,72,0.817,0.781,-4.178,0.112,0.008,0.123,104.000,0.359
Faz Amor Comigo Só Hoje - Ao Vivo,"5,269,757",169,2,"Israel & Rodolffo, Wesley Safadão",1097789,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",26-05-2021,82,0.624,0.922,-4.628,0.044,0.300,0.112,164.819,0.884
Hasta Abajo,"5,269,163",91,12,"Kevin Roldan, Bryant Myers, Lyanno",4026643,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']",04-10-2019,77,0.714,0.671,-5.119,0.362,0.289,0.325,169.732,0.641
Boy With Luv (feat. Halsey),"5,266,625",85,16,BTS,37106176,"['k-pop', 'k-pop boy group']",12-04-2019,82,0.645,0.862,-4.757,0.097,0.092,0.192,119.991,0.798
HOLIDAY,"5,264,232",19,26,Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']",13-11-2020,83,0.810,0.511,-6.924,0.164,0.120,0.083,151.947,0.837
Abracadabra (feat. Future),"5,263,469",174,1,Sfera Ebbasta,4430628,"['italian hip hop', 'italian pop', 'trap italiana']",18-12-2020,55,0.846,0.681,-7.091,0.174,0.046,0.112,131.988,0.809
"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix","5,260,351",128,2,Future,10491105,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",15-02-2020,61,0.810,0.566,-8.330,0.433,0.107,0.122,142.069,0.582
Alcohol-Free,"5,259,503",80,5,TWICE,9987114,"['k-pop', 'k-pop girl group']",11-06-2021,82,0.688,0.909,-1.992,0.062,0.047,0.067,97.097,0.702
Stuck In A Dream (feat. Gunna),"5,258,047",131,3,Lil Mosey,3818503,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",08-11-2019,73,0.748,0.648,-6.445,0.082,0.484,0.126,139.952,0.726
At My Worst,"5,258,000",71,28,Pink Sweat$,942628,"['bedroom soul', 'pop']",17-07-2020,79,0.813,0.415,-5.926,0.035,0.777,0.131,91.921,0.667
La Tóxica,"5,255,393",22,29,Farruko,10510156,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",24-07-2020,78,0.659,0.701,-4.107,0.164,0.088,0.087,91.970,0.623
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix],"5,254,969",151,1,Dua Lipa,27167675,"['dance pop', 'pop', 'uk pop']",13-08-2020,62,0.808,0.655,-7.340,0.139,0.037,0.208,116.029,0.560
Cloud 9,"5,252,767",91,9,Beach Bunny,618444,"['bubblegrunge', 'chicago indie', 'indie pop', 'pop']",14-02-2020,81,0.637,0.929,-3.593,0.049,0.002,0.344,80.974,0.902
I Fall Apart,"5,251,918",190,1,Post Malone,33663701,"['dfw rap', 'melodic rap', 'rap']",09-12-2016,80,0.556,0.538,-5.408,0.038,0.069,0.196,143.950,0.291
Ropa Cara,"5,249,427",40,9,Camilo,10580764,"['colombian pop', 'reggaeton colombiano']",18-01-2021,73,0.813,0.526,-4.787,0.125,0.105,0.110,170.002,0.608
nasty,"5,249,342",42,2,Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",30-10-2020,69,0.772,0.506,-6.558,0.139,0.081,0.182,127.894,0.456
m y . l i f e (with 21 Savage & Morray),"5,246,577",6,6,J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",14-05-2021,82,0.597,0.587,-7.026,0.137,0.062,0.214,140.021,0.075
Demeanor (feat. Dua Lipa),"5,245,618",72,2,Pop Smoke,6837946,['brooklyn drill'],16-07-2021,81,0.675,0.608,-6.934,0.103,0.336,0.110,99.865,0.728
TE MUDASTE,"5,242,347",12,29,Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']",27-11-2020,82,0.811,0.637,-4.835,0.059,0.234,0.118,92.025,0.471
MI FAI IMPAZZIRE,"5,242,097",175,4,"BLANCO, Sfera Ebbasta",127364,"['italian hip hop', 'italian pop']",17-06-2021,83,0.477,0.844,-4.870,0.046,0.003,0.137,169.941,0.203
CORALINE,"5,241,813",127,2,Måneskin,3377762,"['indie rock italiano', 'italian pop']",19-03-2021,81,0.363,0.678,-4.939,0.100,0.030,0.324,162.124,0.321
Life Is Good (feat. Drake),"5,241,227",3,70,Future,10488292,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",10-01-2020,81,0.676,0.609,-5.831,0.481,0.071,0.152,142.037,0.508
death bed (coffee for your head),"5,238,547",4,76,"Powfu, beabadoobee",924083,['sad rap'],08-02-2020,85,0.726,0.431,-8.765,0.135,0.731,0.696,144.026,0.348
Boyfriend,"5,236,730",40,4,Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",09-04-2020,62,0.811,0.512,-6.381,0.170,0.218,0.077,92.046,0.346
Get Me,"5,236,560",45,2,"Justin Bieber, Kehlani",48544923,"['canadian pop', 'pop', 'post-teen pop']",14-02-2020,61,0.832,0.508,-6.913,0.149,0.049,0.107,109.352,0.750
Our Song,"5,235,335",100,9,"Anne-Marie, Niall Horan",8148393,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",21-05-2021,83,0.595,0.759,-4.245,0.042,0.141,0.172,80.953,0.515
Ride It,"5,235,088",20,82,Regard,152226,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",26-07-2019,84,0.880,0.751,-4.258,0.087,0.177,0.106,117.948,0.884
What If I Told You That I Love You,"5,234,645",29,15,Ali Gatie,1758300,"['canadian hip hop', 'pop']",26-03-2021,69,0.596,0.366,-11.144,0.115,0.630,0.055,84.394,0.229
Solar Power,"5,234,112",25,4,Lorde,8083566,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop', 'post-teen pop']",10-06-2021,81,0.735,0.470,-9.405,0.100,0.266,0.320,87.971,0.897
Call Out My Name,"5,233,359",168,3,The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",30-03-2018,80,0.461,0.593,-4.954,0.036,0.170,0.307,134.170,0.175
Your Man,"5,233,336",77,2,Joji,4759367,"['alternative r&b', 'viral pop']",24-09-2020,68,0.785,0.818,-8.711,0.099,0.624,0.149,117.980,0.050
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","5,232,509",83,11,"Bizarrap, Nathy Peluso",3134041,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",27-11-2020,77,0.650,0.655,-3.710,0.405,0.250,0.069,94.059,0.735
Antes,"5,232,377",54,7,"Anuel AA, Ozuna",18306226,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",22-01-2021,73,0.817,0.737,-5.453,0.102,0.046,0.092,93.985,0.670
Lo Mein,"5,231,134",31,3,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",06-03-2020,67,0.855,0.676,-5.736,0.325,0.089,0.144,133.082,0.509
Dancing With A Stranger (with Normani),"5,229,835",105,26,Sam Smith,17097317,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",11-01-2019,78,0.741,0.520,-7.513,0.066,0.450,0.222,102.998,0.347
"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)","5,229,616",125,2,French Montana,4039037,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",27-09-2019,59,0.773,0.836,-2.326,0.153,0.283,0.083,112.010,0.497
Past Life (with Selena Gomez),"5,228,433",129,4,Trevor Daniel,632097,"['alternative r&b', 'melodic rap', 'pop rap']",26-06-2020,47,0.575,0.543,-5.062,0.053,0.102,0.176,159.905,0.283
"fuck, i'm lonely (with Anne-Marie)","5,226,991",191,1,Lauv,4442273,"['dance pop', 'electropop', 'pop', 'post-teen pop']",06-03-2020,74,0.806,0.558,-6.460,0.068,0.482,0.062,95.016,0.678
TRAGIC (feat. Youngboy Never Broke Again & Internet Money),"5,226,940",168,1,The Kid LAROI,2238190,['australian hip hop'],06-11-2020,76,0.779,0.642,-6.321,0.116,0.038,0.200,82.363,0.388
Angeklagt,"5,226,264",91,2,Bonez MC,1683006,"['german hip hop', 'hamburg hip hop']",29-10-2020,60,0.658,0.624,-9.155,0.092,0.171,0.116,181.942,0.314
Ayer Me Llamó Mi Ex (feat. Lenny Santos),"5,220,504",49,12,KHEA,3198705,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",20-08-2020,71,0.752,0.716,-5.200,0.033,0.254,0.243,117.007,0.553
Jocelyn Flores,"5,220,422",96,77,XXXTENTACION,29539807,"['emo rap', 'miami hip hop']",25-08-2017,84,0.872,0.391,-9.144,0.242,0.469,0.297,134.021,0.437
Tap In,"5,220,309",86,8,Saweetie,1255573,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']",17-06-2020,73,0.954,0.696,-7.117,0.204,0.006,0.075,100.036,0.432
No Te Enamores - Remix,"5,218,146",58,19,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",22718,"['reggaeton', 'reggaeton flow', 'trap latino']",20-11-2020,79,0.824,0.837,-4.603,0.107,0.573,0.271,100.021,0.580
B.I.T.C.H.,"5,215,211",171,1,Megan Thee Stallion,4794212,"['houston rap', 'pop', 'pop rap', 'trap queen']",24-01-2020,59,0.742,0.731,-4.362,0.306,0.085,0.131,174.019,0.547
My Time,"5,212,053",58,2,BTS,37151476,"['k-pop', 'k-pop boy group']",21-02-2020,74,0.674,0.640,-5.139,0.034,0.151,0.093,99.908,0.664
Coração Na Cama - Ao Vivo,"5,211,351",181,3,Hugo & Guilherme,435936,['sertanejo pop'],13-11-2020,77,0.764,0.794,-4.096,0.059,0.663,0.340,110.013,0.721
Good News,"5,210,780",14,6,Mac Miller,6189454,"['hip hop', 'pittsburgh rap', 'rap']",17-01-2020,75,0.794,0.320,-12.920,0.173,0.853,0.112,174.088,0.241
Show Out (with Skepta & Pop Smoke),"5,209,372",54,3,Kid Cudi,5002317,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",11-12-2020,76,0.619,0.589,-6.531,0.124,0.430,0.378,143.896,0.158
Mona Lisa,"5,208,787",175,1,"Booba, JSX",2161609,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']",04-03-2021,72,0.784,0.529,-7.681,0.074,0.683,0.118,134.041,0.246
Kein Wort,"5,208,651",76,3,"Juju, Loredana, Miksu / Macloud",486474,"['frauenrap', 'german hip hop', 'german pop']",16-01-2020,62,0.746,0.592,-6.861,0.091,0.462,0.187,160.065,0.629
Midnight Sky,"5,208,100",14,26,Miley Cyrus,15778531,"['dance pop', 'pop', 'post-teen pop']",14-08-2020,76,0.705,0.814,-5.466,0.035,0.001,0.203,110.000,0.259
Relación - Remix,"5,206,614",15,32,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",04-09-2020,80,0.793,0.771,-3.417,0.096,0.034,0.284,171.943,0.835
Aventura,"5,206,102",78,11,"Lunay, Ozuna, Anuel AA",4963516,"['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",25-10-2019,68,0.729,0.726,-3.208,0.042,0.223,0.101,92.025,0.876
Another One Bites The Dust - Remastered 2011,"5,204,983",138,22,Queen,35888760,"['classic rock', 'glam rock', 'rock']",27-06-1980,74,0.933,0.528,-6.472,0.162,0.112,0.163,109.975,0.756
Black And White,"5,204,120",163,1,Niall Horan,7564659,"['dance pop', 'pop', 'post-teen pop']",13-03-2020,75,0.443,0.582,-6.020,0.048,0.030,0.127,147.589,0.239
Extasy,"5,203,700",184,1,"187 Strassenbande, Bonez MC, Frauenarzt",1223734,"['german hip hop', 'hamburg hip hop']",13-05-2021,67,0.863,0.739,-5.879,0.153,0.029,0.093,129.964,0.547
Djadja (feat. Maluma) - Remix,"5,203,423",36,22,Aya Nakamura,2953525,"['basshall', 'francoton']",12-06-2020,72,0.791,0.682,-7.328,0.158,0.175,0.093,98.031,0.672
UN DIA (ONE DAY) (Feat. Tainy),"5,203,364",10,49,"J Balvin, Dua Lipa, Bad Bunny",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']",24-07-2020,83,0.571,0.693,-8.234,0.055,0.005,0.173,168.169,0.393
"Yo x Ti, Tu x Mi","5,202,210",95,7,"ROSALÍA, Ozuna",4769627,['r&b en espanol'],15-08-2019,74,0.780,0.759,-3.292,0.225,0.462,0.143,91.952,0.579
Sweet Melody,"5,201,322",124,3,Little Mix,9398941,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",06-11-2020,73,0.448,0.824,-4.249,0.057,0.074,0.113,119.965,0.419
Met Him Last Night (feat. Ariana Grande),"5,200,695",33,5,Demi Lovato,20331923,"['dance pop', 'pop', 'post-teen pop']",02-04-2021,72,0.538,0.512,-4.548,0.026,0.220,0.101,144.978,0.120
Take What You Want (feat. Ozzy Osbourne & Travis Scott),"5,199,618",138,3,Post Malone,33663701,"['dfw rap', 'melodic rap', 'rap']",06-09-2019,75,0.499,0.800,-2.665,0.050,0.091,0.147,139.919,0.272
La Curiosidad,"5,198,514",19,38,"Jay Wheeler, DJ Nelson, Myke Towers",1650912,"['latin', 'reggaeton', 'trap latino']",12-06-2020,82,0.845,0.677,-4.798,0.136,0.269,0.108,90.013,0.680
Back In Blood (feat. Lil Durk),"5,198,209",100,11,Pooh Shiesty,423237,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",06-11-2020,75,0.759,0.538,-8.256,0.384,0.151,0.126,146.933,0.831
Pressure (feat. Tove Lo),"5,197,587",175,1,Martin Garrix,14921269,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",05-02-2021,76,0.859,0.558,-8.991,0.090,0.659,0.124,114.978,0.357
Don’t You (Taylor’s Version) (From The Vault),"5,197,564",192,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",09-04-2021,65,0.563,0.473,-11.548,0.050,0.514,0.109,101.934,0.405
ALWAYS DO,"5,196,635",140,3,The Kid LAROI,2238190,['australian hip hop'],06-11-2020,76,0.762,0.426,-6.865,0.113,0.044,0.086,167.827,0.582
Rare,"5,195,842",12,9,Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",10-01-2020,68,0.838,0.545,-6.713,0.071,0.208,0.103,114.998,0.631
The Other Side (from Trolls World Tour),"5,193,927",81,3,"SZA, Justin Timberlake",5888533,"['pop', 'pop rap', 'r&b']",26-02-2020,68,0.760,0.607,-6.274,0.096,0.003,0.132,105.979,0.709
TOP FLOOR (feat. Travis Scott),"5,193,309",139,1,Gunna,3337982,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",22-05-2020,63,0.823,0.504,-8.650,0.160,0.206,0.417,112.985,0.481
100k Cash,"5,192,813",184,1,"Capital Bra, Samra",4093115,['german hip hop'],27-02-2020,52,0.701,0.714,-5.906,0.524,0.289,0.088,86.910,0.604
Lonely (with benny blanco),"5,191,697",5,31,Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']",16-10-2020,80,0.631,0.239,-7.071,0.040,0.864,0.116,79.859,0.093
Investe Em Mim,"5,191,001",166,11,Jonas Esticado,1293055,"['forro', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",13-12-2019,72,0.632,0.953,-1.283,0.033,0.317,0.125,160.061,0.798
Vida de Rico,"5,189,822",25,26,Camilo,10580764,"['colombian pop', 'reggaeton colombiano']",21-09-2020,79,0.824,0.457,-5.428,0.054,0.167,0.041,87.977,0.950
No Return (with The Kid LAROI & Lil Durk),"5,189,427",66,2,Polo G,4840346,['chicago rap'],11-06-2021,80,0.479,0.645,-7.336,0.302,0.135,0.083,155.057,0.381
We Were Happy (Taylor’s Version) (From The Vault),"5,189,423",195,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",09-04-2021,64,0.609,0.373,-8.819,0.026,0.849,0.078,106.007,0.130
wish you were gay,"5,187,997",141,6,Billie Eilish,47061119,"['electropop', 'pop']",29-03-2019,76,0.853,0.351,-10.198,0.241,0.390,0.752,118.028,0.282
De Una Vez,"5,186,567",66,2,Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",12-03-2021,70,0.659,0.479,-6.790,0.200,0.152,0.268,163.882,0.040
WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,"5,186,354",184,1,BIA,151870,"['escape room', 'r&b', 'rap latina', 'trap queen']",09-07-2021,80,0.893,0.463,-5.301,0.360,0.199,0.318,81.026,0.591
Drown (feat. Clinton Kane),"5,186,141",185,1,Martin Garrix,14921269,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",27-02-2020,74,0.573,0.739,-5.455,0.058,0.212,0.175,120.077,0.363
me & ur ghost,"5,184,069",103,7,blackbear,4272745,"['electropop', 'pop', 'pop rap']",21-08-2020,71,0.742,0.679,-4.594,0.026,0.049,0.075,100.041,0.856
Put Your Records On,"5,181,180",18,33,Ritt Momney,100463,['bedroom pop'],24-04-2020,81,0.399,0.491,-10.778,0.054,0.056,0.110,91.066,0.151
One Dance,"5,178,490",149,14,"Drake, WizKid, Kyla",56308172,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",06-05-2016,84,0.792,0.625,-5.609,0.054,0.008,0.329,103.967,0.370
Secrets,"5,178,107",64,17,"Regard, RAYE",152237,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",24-04-2020,78,0.848,0.768,-5.386,0.037,0.041,0.195,118.961,0.777
Take You Dancing,"5,176,493",30,37,Jason Derulo,9778632,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",22-07-2020,82,0.789,0.711,-4.248,0.041,0.033,0.088,112.985,0.753
Headshot (feat. Polo G & Fivio Foreign),"5,174,298",64,10,Lil Tjay,3553442,"['brooklyn drill', 'melodic rap', 'nyc rap']",02-04-2021,81,0.808,0.639,-7.266,0.279,0.080,0.150,118.000,0.395
Shot in the Dark,"5,173,308",193,1,John Mayer,5178156,"['neo mellow', 'pop rock', 'singer-songwriter']",16-07-2021,76,0.741,0.556,-9.184,0.027,0.063,0.103,122.008,0.587
Memory,"5,173,178",187,1,"Kane Brown, blackbear",3507622,"['contemporary country', 'country road']",09-07-2021,80,0.434,0.889,-5.684,0.051,0.395,0.273,113.326,0.845
WACHA,"5,172,999",153,2,"KHEA, Duki",3198705,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",01-04-2021,75,0.737,0.634,-4.250,0.042,0.345,0.111,94.927,0.528
M' Manc (con Geolier & Sfera Ebbasta),"5,171,235",139,1,Shablo,40045,['italian hip hop'],11-06-2020,66,0.703,0.704,-6.117,0.064,0.048,0.410,139.933,0.725
Real As It Gets (feat. EST Gee),"5,170,861",180,1,Lil Baby,7816213,"['atl hip hop', 'atl trap', 'rap', 'trap']",04-03-2021,74,0.779,0.705,-5.891,0.163,0.005,0.097,140.005,0.196
Se Te Nota (with Guaynaa),"5,168,240",24,25,Lele Pons,786461,"['latin pop', 'viral pop']",02-09-2020,77,0.905,0.686,-3.152,0.066,0.091,0.266,103.013,0.963
Tyler Herro,"5,168,107",62,17,Jack Harlow,1053324,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",22-10-2020,76,0.794,0.756,-7.160,0.136,0.110,0.247,123.066,0.775
Adore You,"5,166,847",15,83,Harry Styles,16112621,"['pop', 'post-teen pop']",13-12-2019,84,0.676,0.771,-3.675,0.048,0.024,0.102,99.048,0.569
Cupid's Chokehold / Breakfast in America,"5,165,035",77,10,Gym Class Heroes,1275345,"['dance pop', 'pop rap']",22-02-2005,81,0.720,0.744,-6.938,0.120,0.237,0.255,78.953,0.619
Smile (with The Weeknd),"5,164,187",7,16,Juice WRLD,19102888,"['chicago rap', 'melodic rap']",10-07-2020,75,0.694,0.685,-6.535,0.133,0.224,0.124,158.831,0.306
Riot,"5,163,633",134,1,XXXTENTACION,29566516,"['emo rap', 'miami hip hop']",01-06-2020,70,0.509,0.542,-8.027,0.442,0.019,0.230,97.767,0.151
Hawái - Remix,"5,163,323",17,15,"Maluma, The Weeknd",26784251,"['latin', 'reggaeton', 'reggaeton colombiano']",05-11-2020,77,0.766,0.788,-3.128,0.312,0.105,0.142,179.984,0.609
865,"5,160,123",168,1,Morgan Wallen,2147875,['contemporary country'],08-01-2021,70,0.532,0.584,-5.254,0.025,0.723,0.101,88.003,0.367
Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,"5,159,208",186,1,Os Barões Da Pisadinha,4271775,"['forro', 'piseiro']",19-02-2021,80,0.593,0.932,-2.324,0.053,0.302,0.133,171.977,0.913
Blueberry Eyes (feat. SUGA of BTS),"5,158,896",144,4,MAX,689627,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'viral pop']",15-09-2020,72,0.746,0.611,-7.034,0.101,0.454,0.133,149.967,0.411
All We Got (feat. KIDDO),"5,156,937",86,12,Robin Schulz,2786366,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",16-10-2020,74,0.504,0.760,-4.246,0.043,0.286,0.151,183.933,0.640
Mask,"5,156,496",198,1,Dream,727731,['dream smp'],21-05-2021,76,0.636,0.749,-4.197,0.063,0.195,0.107,117.904,0.653
Tipo Gin - Ao Vivo,"5,155,238",108,6,MC Kevin o Chris,2753929,"['funk 150 bpm', 'funk carioca']",09-04-2021,81,0.750,0.668,-4.490,0.061,0.780,0.338,94.998,0.786
No Opp Left Behind,"5,154,955",179,1,"21 Savage, Metro Boomin",9949044,"['atl hip hop', 'hip hop', 'rap', 'trap']",02-10-2020,61,0.823,0.703,-2.691,0.298,0.016,0.294,178.043,0.260
Lance Individual,"5,152,906",197,1,Jorge & Mateus,15019109,"['sertanejo', 'sertanejo universitario']",13-11-2020,72,0.752,0.620,-5.536,0.051,0.309,0.075,117.399,0.962
10 Years,"5,152,139",199,1,Daði Freyr,169137,"['icelandic pop', 'sunnlensk tonlist']",13-03-2021,70,0.798,0.621,-6.916,0.039,0.014,0.093,123.038,0.443
21,"5,151,406",150,13,Polo G,4849204,['chicago rap'],15-05-2020,80,0.783,0.479,-10.646,0.541,0.149,0.101,176.027,0.533
That’s It,"5,151,014",168,1,"Future, Lil Uzi Vert",10491105,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",13-11-2020,64,0.940,0.532,-5.998,0.358,0.120,0.093,123.043,0.599
Wrecked,"5,150,909",71,3,Imagine Dragons,35285425,"['modern rock', 'pop', 'rock']",02-07-2021,83,0.626,0.560,-5.820,0.029,0.148,0.109,93.989,0.229
Tip Toe (feat. A Boogie Wit da Hoodie),"5,150,724",176,1,Roddy Ricch,6608815,"['melodic rap', 'rap', 'trap']",06-12-2019,63,0.757,0.673,-8.513,0.141,0.095,0.338,92.958,0.574
Choker,"5,150,176",127,2,Twenty One Pilots,20823062,"['modern rock', 'rock']",21-05-2021,72,0.700,0.664,-8.211,0.039,0.306,0.249,142.009,0.585
Combatchy (feat. MC Rebecca),"5,149,797",156,1,"Anitta, Lexa, Luísa Sonza",10741972,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",20-11-2019,64,0.826,0.730,-3.032,0.081,0.383,0.020,150.134,0.605
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","5,148,516",161,7,"Justin Quiles, Natti Natasha, Farruko",2897862,"['latin', 'reggaeton', 'trap latino']",06-09-2019,72,0.743,0.709,-3.922,0.088,0.045,0.081,170.001,0.831
Jeans,"5,145,966",35,27,Justin Quiles,2897862,"['latin', 'reggaeton', 'trap latino']",14-08-2020,75,0.807,0.656,-4.395,0.105,0.017,0.069,83.943,0.890
As the World Caves In,"5,145,493",181,4,Sarah Cothran,180723,['pop soul'],10-06-2021,71,0.422,0.250,-6.836,0.035,0.441,0.350,124.026,0.246
Fancy Like,"5,145,432",183,1,Walker Hayes,304995,"['contemporary country', 'country', 'country road', 'modern country rock']",04-06-2021,83,0.649,0.760,-6.487,0.057,0.114,0.317,80.018,0.843
The Box,"5,145,099",1,78,Roddy Ricch,6603627,"['melodic rap', 'rap', 'trap']",06-12-2019,84,0.896,0.586,-6.687,0.056,0.104,0.790,116.971,0.642
Godzilla (feat. Juice WRLD),"5,143,522",4,70,Eminem,46785561,"['detroit hip hop', 'hip hop', 'rap']",17-01-2020,83,0.808,0.745,-5.260,0.342,0.145,0.292,165.995,0.829
