Song Title,Streams,Highest Charting Position,Number of Times Charted,Artist,Artist Followers,Genre,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Valence
Fiel - Remix,"10,032,746",29,6,"Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",6929075,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",15-06-2021,89,0.839,0.711,-4.733,0.047,0.398,0.118,97.990,0.573
Love You Different (feat. BEAM),"10,024,729",60,1,Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",19-03-2021,66,0.759,0.584,-6.655,0.060,0.065,0.160,127.138,0.374
Louder than bombs,"10,016,907",54,1,BTS,37151476,"['k-pop', 'k-pop boy group']",21-02-2020,72,0.643,0.667,-6.993,0.152,0.043,0.090,145.999,0.485
UGH!,"9,991,177",56,1,BTS,37151476,"['k-pop', 'k-pop boy group']",21-02-2020,72,0.720,0.824,-5.086,0.128,0.039,0.051,165.998,0.333
Bigger Than Life,"9,974,143",64,1,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",06-03-2020,62,0.776,0.752,-4.711,0.193,0.325,0.330,140.013,0.716
Time Flies,"9,904,749",51,1,Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",01-05-2020,71,0.864,0.477,-5.786,0.224,0.201,0.182,86.460,0.500
HOT WIND BLOWS (feat. Lil Wayne),"9,889,197",59,1,"Tyler, The Creator",6777818,"['hip hop', 'rap']",25-06-2021,77,0.371,0.750,-5.382,0.402,0.601,0.482,173.456,0.729
Wonderful Christmastime - Edited Version / Remastered 2011,"9,882,989",23,4,Paul McCartney,3609658,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']",16-05-1980,51,0.774,0.511,-8.914,0.032,0.322,0.067,94.736,0.771
You Belong With Me (Taylor’s Version),"9,872,084",52,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",09-04-2021,73,0.632,0.773,-4.856,0.035,0.062,0.089,130.033,0.474
Holly Jolly Christmas,"9,852,792",21,6,Michael Bublé,4702232,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",09-11-2012,48,0.647,0.465,-8.308,0.043,0.865,0.088,151.251,0.699
Build a Bitch,"9,841,998",20,11,Bella Poarch,389076,"['dark pop', 'pop']",14-05-2021,89,0.855,0.463,-7.454,0.037,0.217,0.347,102.931,0.866
Venetia,"9,824,605",68,1,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",06-03-2020,63,0.775,0.757,-4.139,0.175,0.162,0.148,142.933,0.562
"Nicky Jam: Bzrp Music Sessions, Vol. 41","9,799,701",19,4,"Bizarrap, Nicky Jam",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",30-06-2021,88,0.627,0.849,-3.167,0.153,0.091,0.145,89.907,0.818
Tiroteo - Remix,"9,781,153",52,4,"Marc Seguí, Rauw Alejandro, Pol Granch",45362,"['contemporary r&b', ‎'alt-pop‎', 'synthpop']",01-04-2021,88,0.750,0.522,-7.018,0.029,0.282,0.074,110.427,0.601
Fearless (Taylor’s Version),"9,676,024",54,1,Taylor Swift,42227614,"['pop', 'post-teen pop']",09-04-2021,69,0.569,0.741,-4.963,0.028,0.012,0.333,100.118,0.430
Give No Fxk,"9,652,399",57,1,"Migos, Travis Scott, Young Thug",11692972,"['atl hip hop', 'pop rap', 'rap', 'trap']",14-02-2020,59,0.904,0.627,-5.608,0.222,0.030,0.092,145.976,0.236
NDA,"9,635,619",19,3,Billie Eilish,47014200,"['electropop', 'pop']",30-07-2021,84,0.765,0.373,-9.921,0.071,0.341,0.112,85.016,0.554
Desires (with Future),"9,628,215",53,1,Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",01-05-2020,64,0.812,0.506,-7.706,0.116,0.281,0.325,145.074,0.554
Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,"9,624,871",83,2,Paul McCartney,3609658,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']",16-05-1980,51,0.774,0.511,-8.914,0.032,0.322,0.067,94.736,0.771
Rasputin,"9,600,707",40,14,"Majestic, Boney M.",32178,"['house', 'pop dance', 'uk dance']",25-06-2021,49,0.830,0.839,-6.985,0.070,0.002,0.035,128.012,0.590
Have Yourself A Merry Little Christmas,"9,548,924",83,3,Sam Smith,17097317,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",05-12-2014,46,0.438,0.178,-9.402,0.041,0.957,0.316,75.248,0.344
You Better Move,"9,533,898",73,1,Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",06-03-2020,60,0.842,0.556,-6.793,0.442,0.159,0.204,118.836,0.306
Come Around Me,"9,533,583",61,1,Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",14-02-2020,66,0.648,0.681,-8.389,0.038,0.263,0.097,157.941,0.767
Hand Me Downs,"9,521,654",69,1,Mac Miller,6189454,"['hip hop', 'pittsburgh rap', 'rap']",17-01-2020,64,0.677,0.330,-11.198,0.149,0.474,0.064,68.985,0.336
Happy Xmas (War Is Over) - Remastered 2010,"9,509,781",24,5,"John Lennon, Yoko Ono",4313100,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']",05-10-2010,53,0.321,0.640,-10.023,0.032,0.280,0.718,146.172,0.414
CORSO,"9,503,981",63,1,"Tyler, The Creator",6777818,"['hip hop', 'rap']",25-06-2021,77,0.703,0.845,-4.851,0.337,0.169,0.122,97.672,0.745
No Regrets (feat. Don Toliver),"9,493,884",70,1,Eminem,46814751,"['detroit hip hop', 'hip hop', 'rap']",17-01-2020,63,0.756,0.747,-5.407,0.046,0.005,0.588,134.935,0.069
Santa's Coming for Us,"9,474,711",85,1,Sia,20528724,"['australian dance', 'australian pop', 'dance pop', 'pop']",01-11-2018,49,0.547,0.814,-6.191,0.120,0.022,0.048,92.986,0.724
My Only Wish (This Year),"9,457,199",86,2,Britney Spears,9470311,"['dance pop', 'pop', 'post-teen pop']",14-11-2000,43,0.669,0.843,-3.766,0.027,0.169,0.195,147.080,0.702
Complicated,"9,443,725",71,1,Mac Miller,6189454,"['hip hop', 'pittsburgh rap', 'rap']",17-01-2020,62,0.831,0.360,-8.073,0.052,0.136,0.070,75.014,0.601
Leave Before You Love Me (with Jonas Brothers),"9,428,494",52,9,Marshmello,31541310,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",21-05-2021,89,0.721,0.738,-4.770,0.040,0.002,0.118,119.976,0.637
love language,"9,399,230",65,1,Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",30-10-2020,62,0.688,0.573,-5.030,0.208,0.069,0.075,110.034,0.553
west side,"9,397,167",66,1,Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",30-10-2020,62,0.688,0.455,-8.632,0.199,0.186,0.079,87.865,0.557
00:00 (Zero O’Clock),"9,372,219",67,1,BTS,37151476,"['k-pop', 'k-pop boy group']",21-02-2020,72,0.566,0.548,-6.456,0.058,0.080,0.110,157.999,0.196
Lock It Up (feat. Anderson .Paak),"9,328,951",72,1,Eminem,46814751,"['detroit hip hop', 'hip hop', 'rap']",17-01-2020,64,0.848,0.745,-3.052,0.221,0.095,0.080,137.024,0.516
Real Shit (with benny blanco),"9,325,928",74,1,Juice WRLD,19102888,"['chicago rap', 'melodic rap']",02-12-2020,70,0.703,0.703,-4.672,0.133,0.605,0.120,76.017,0.697
Freaks,"9,319,465",56,13,Surf Curse,495226,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",15-05-2021,89,0.345,0.941,-9.918,0.047,0.000,0.051,179.626,0.407
Not You Too (feat. Chris Brown),"9,284,383",55,1,Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",01-05-2020,64,0.458,0.452,-9.299,0.047,0.342,0.070,86.318,0.316
"Baby, It's Cold Outside (feat. Meghan Trainor)","9,270,017",89,3,Brett Eldredge,1298537,"['contemporary country', 'country', 'country road', 'modern country rock']",28-10-2016,44,0.583,0.572,-4.776,0.037,0.738,0.266,113.998,0.684
